simFrame,simTime,id.0,lateralDist.0,type.0,color.0,id.1,lateralDist.1,type.1,color.1,id.2,lateralDist.2,type.2,color.2,id.3,lateralDist.3,type.3,color.3,id.4,lateralDist.4,type.4,color.4,id.5,lateralDist.5,type.5,color.5,id.6,lateralDist.6,type.6,color.6,id.7,lateralDist.7,type.7,color.7,id.8,lateralDist.8,type.8,color.8,id.9,lateralDist.9,type.9,color.9,id.10,lateralDist.10,type.10,color.10,id.11,lateralDist.11,type.11,color.11,id.12,lateralDist.12,type.12,color.12,id.13,lateralDist.13,type.13,color.13
2,+9.9999997764825821e-03,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,+1.9999999552965164e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,+2.9999999329447746e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,+3.9999999105930328e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,+4.9999998882412910e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,+5.9999998658895493e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,+6.9999998435378075e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,+7.9999998211860657e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,+8.9999997988343239e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,+9.9999997764825821e-02,0,+1.5730028152465820e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.7169971466064453e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.0664381980895996e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
