simFrame,simTime,wheelId_1,flags_1,wheelX_1,wheelY_1,wheelId_2,flags_2,wheelX_2,wheelY_2,wheelId_3,flags_3,wheelX_3,wheelY_3,wheelId_4,flags_4,wheelX_4,wheelY_4,id,lateralDist,yawRel,type,id.1,lateralDist.1,yawRel.1,type.1,id.2,lateralDist.2,yawRel.2,type.2,id.3,lateralDist.3,yawRel.3,type.3,id.4,lateralDist.4,yawRel.4,type.4,id.5,lateralDist.5,yawRel.5,type.5,id.6,lateralDist.6,yawRel.6,type.6,id.7,lateralDist.7,yawRel.7,type.7,id.8,lateralDist.8,yawRel.8,type.8,id.9,lateralDist.9,yawRel.9,type.9,id.10,lateralDist.10,yawRel.10,type.10,id.11,lateralDist.11,yawRel.11,type.11,id.12,lateralDist.12,yawRel.12,type.12,id.13,lateralDist.13,yawRel.13,type.13,objectId_0,X_0,Y_0,yaw_angle_0,Vx_0,Vy_0,Ax_0,Ay_0,objectId_1,X_1,Y_1,yaw_angle_1,Vx_1,Vy_1,Ax_1,Ay_1,objectId_2,X_2,Y_2,yaw_angle_2,Vx_2,Vy_2,Ax_2,Ay_2,playerId,lightMask,playerId.1,lightMask.1,playerId.2,lightMask.2,playerId.3,lightMask.3,playerId.4,lightMask.4,playerId.5,lightMask.5
2,0.0166666675,1.0,                    0x1,1.7830539706,0.7173105814,2.0,                    0x1,1.7325076813,-0.7618260156,3.0,                    0x1,-0.0314626523,-0.7015461502,4.0,                    0x1,0.019083637,0.7775904468,0,1.6900132895,1.051279832609e-05,2,1,0.7759999633,0.0430671684,2,2,-1.6000133753,1.051279832609e-05,1,3,-2.519712925,0.0425645187,1,4,5.6850132942,1.051279832609e-05,1,5,4.7659258842,0.0432301499,1,6,-4.6850132942,1.051279832609e-05,1,7,-5.5910134315,0.0424831323,1,8,9.9349241257,1.051279832609e-05,1,9,9.015007019,0.0433292203,2,10,-8.2500133514,1.051279832609e-05,1,11,-9.1515808105,0.0423352979,1,12,13.5999240875,1.051279832609e-05,1,13,12.6707229614,0.043487221,1,1,-0.0061895076,0.0380221483,-0.0341595411,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
3,0.0333333351,1.0,                    0x1,1.7830539706,0.7173105814,2.0,                    0x1,1.7325076813,-0.7618260156,3.0,                    0x1,-0.0314626523,-0.7015461502,4.0,                    0x1,0.019083637,0.7775904468,0,1.6900132895,1.051279832609e-05,2,1,0.7759999633,0.0430671684,2,2,-1.6000133753,1.051279832609e-05,1,3,-2.519712925,0.0425645187,1,4,5.6850132942,1.051279832609e-05,1,5,4.7659258842,0.0432301499,1,6,-4.6850132942,1.051279832609e-05,1,7,-5.5910134315,0.0424831323,1,8,9.9349241257,1.051279832609e-05,1,9,9.015007019,0.0433292203,2,10,-8.2500133514,1.051279832609e-05,1,11,-9.1515808105,0.0423352979,1,12,13.5999240875,1.051279832609e-05,1,13,12.6707229614,0.043487221,1,1,-0.0061895076,0.0380221483,-0.0341595411,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
4,0.0500000026,1.0,                    0x1,1.7830539706,0.7173105814,2.0,                    0x1,1.7325076813,-0.7618260156,3.0,                    0x1,-0.0314626523,-0.7015461502,4.0,                    0x1,0.019083637,0.7775904468,0,1.6900132895,1.051279832609e-05,2,1,0.7759999633,0.0430671684,2,2,-1.6000133753,1.051279832609e-05,1,3,-2.519712925,0.0425645187,1,4,5.6850132942,1.051279832609e-05,1,5,4.7659258842,0.0432301499,1,6,-4.6850132942,1.051279832609e-05,1,7,-5.5910134315,0.0424831323,1,8,9.9349241257,1.051279832609e-05,1,9,9.015007019,0.0433292203,2,10,-8.2500133514,1.051279832609e-05,1,11,-9.1515808105,0.0423352979,1,12,13.5999240875,1.051279832609e-05,1,13,12.6707229614,0.043487221,1,1,-0.0061895076,0.0380221483,-0.0341595411,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
5,0.0666666701,1.0,                    0x1,1.7830840462,0.7173095537,2.0,                    0x1,1.7325377569,-0.7618270433,3.0,                    0x1,-0.0314314695,-0.7015472159,4.0,                    0x1,0.0191148198,0.7775893812,0,1.6900132895,1.051279832609e-05,2,1,0.7760013342,0.0430672914,2,2,-1.6000133753,1.051279832609e-05,1,3,-2.5197114944,0.0425644405,1,4,5.6850132942,1.051279832609e-05,1,5,4.7659268379,0.0432301462,1,6,-4.6850132942,1.051279832609e-05,1,7,-5.591012001,0.0424830802,1,8,9.9349241257,1.051279832609e-05,1,9,9.0150079727,0.0433292054,2,10,-8.2500133514,1.051279832609e-05,1,11,-9.1515798569,0.0423352532,1,12,13.5999240875,1.051279832609e-05,1,13,12.6707239151,0.0434871987,1,1,-0.0061583248,0.0380210827,-0.0341595411,0.0056129089,-0.000191809,0.6735490561,-0.0230170805,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
6,0.0833333377,1.0,                    0x1,1.7832809449,0.7173028185,2.0,                    0x1,1.73273465,-0.7618337783,3.0,                    0x1,-0.0312336871,-0.7015539746,4.0,                    0x1,0.0193126078,0.7775826222,0,1.6900132895,1.05165254353778e-05,2,1,0.776009798,0.043068096,2,2,-1.6000133753,1.05165254353778e-05,1,3,-2.5197031498,0.0425639339,1,4,5.6850132942,1.05165254353778e-05,1,5,4.765935421,0.0432301126,1,6,-4.6850132942,1.05165254353778e-05,1,7,-5.591003418,0.0424827449,1,8,9.9349241257,1.05165254353778e-05,1,9,9.0150165558,0.0433290973,2,10,-8.2500133514,1.05165254353778e-05,1,11,-9.1515712738,0.0423349738,1,12,13.5999240875,1.05165254353778e-05,1,13,12.6707324982,0.0434870645,1,1,-0.0059605396,0.0380143238,-0.0341595449,0.0187626034,-0.0006411714,0.9044142962,-0.0309064034,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
7,0.1000000052,1.0,                    0x1,1.7837259752,0.717287604,2.0,                    0x1,1.7331796748,-0.7618489927,3.0,                    0x1,-0.0307878849,-0.701569209,4.0,                    0x1,0.0197584155,0.7775673877,0,1.6900132895,1.0520251635171e-05,2,1,0.7760288715,0.0430699028,2,2,-1.6000133753,1.0520251635171e-05,1,3,-2.5196843147,0.0425627939,1,4,5.6850132942,1.0520251635171e-05,1,5,4.7659544945,0.0432300344,1,6,-4.6850132942,1.0520251635171e-05,1,7,-5.5909843445,0.0424819887,1,8,9.9349241257,1.0520251635171e-05,1,9,9.0150356293,0.0433288477,2,10,-8.2500133514,1.0520251635171e-05,1,11,-9.1515522003,0.0423343405,1,12,13.5999240875,1.0520251635171e-05,1,13,12.6707515717,0.0434867628,1,1,-0.0055147347,0.0379990893,-0.0341595486,0.0351828896,-0.0012022994,1.0660200119,-0.0364289396,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
8,0.1166666728,1.0,                    0x1,1.7844650349,0.7172623416,2.0,                    0x1,1.7339187291,-0.7618742548,3.0,                    0x1,-0.0300482105,-0.7015944858,4.0,                    0x1,0.0204980953,0.7775421107,0,1.6900132895,1.0524e-05,2,1,0.7760605812,0.0430728942,2,2,-1.6000133753,1.0524e-05,1,3,-2.5196528435,0.0425608978,1,4,5.6850132942,1.0524e-05,1,5,4.7659864426,0.043229904,1,6,-4.6850132942,1.0524e-05,1,7,-5.5909528732,0.0424807295,1,8,9.9349241257,1.0524e-05,1,9,9.0150671005,0.0433284342,2,10,-8.2500133514,1.0524e-05,1,11,-9.1515197754,0.0423332825,1,12,13.5999240875,1.0524e-05,1,13,12.6707830429,0.0434862562,1,1,-0.0047750576,0.0379738125,-0.0341595523,0.0538925864,-0.0018416635,1.1791437864,-0.040294718,,,,,,,,,,,,,,,,,2,                  0x408,3,                  0x408,2.0,                  0x408,3.0,                  0x408,3.0,                  0x408,1.0,0.0
9,0.1333333403,1.0,                    0x1,1.7855302173,0.7172259215,2.0,                    0x1,1.7349838949,-0.7619106743,3.0,                    0x1,-0.0289825729,-0.7016309016,4.0,                    0x1,0.0215637495,0.7775056942,0,1.6900134087,1.05351527963649e-05,2,1,0.7761062384,0.0430772118,2,2,-1.6000133753,1.05351527963649e-05,1,3,-2.5196075439,0.0425581709,1,4,5.6850132942,1.05351527963649e-05,1,5,4.7660317421,0.0432297252,1,6,-4.6850132942,1.05351527963649e-05,1,7,-5.5909070969,0.0424789228,1,8,9.9349241257,1.05351527963649e-05,1,9,9.0151128769,0.0433278456,2,10,-8.2500133514,1.05351527963649e-05,1,11,-9.1514749527,0.0423317663,1,12,13.5999240875,1.05351527963649e-05,1,13,12.6708288193,0.0434855297,1,1,-0.0037094117,0.0379373963,-0.0341595635,0.0742048696,-0.002535793,1.2583299875,-0.0430007651,,,,,,,,,,,,,,,,,2,                  0x400,3,                  0x400,2.0,                  0x400,3.0,                  0x400,3.0,                  0x400,1.0,0.0
10,0.1500000078,1.0,                    0x1,1.7869439567,0.7171775968,2.0,                    0x1,1.7363976232,-0.7619589987,3.0,                    0x1,-0.0275684962,-0.7016792247,4.0,                    0x1,0.0229778372,0.7774573708,0,1.6900134087,1.05426106529194e-05,2,1,0.7761667967,0.0430829339,2,2,-1.6000133753,1.05426106529194e-05,1,3,-2.5195474625,0.0425545424,1,4,5.6850132942,1.05426106529194e-05,1,5,4.7660923004,0.0432294756,1,6,-4.6850132942,1.05426106529194e-05,1,7,-5.5908465385,0.0424765162,1,8,9.9349241257,1.05426106529194e-05,1,9,9.0151729584,0.0433270559,2,10,-8.2500133514,1.05426106529194e-05,1,11,-9.1514139175,0.042329751,1,12,13.5999240875,1.05426106529194e-05,1,13,12.6708889008,0.0434845611,1,1,-0.0022953295,0.037889073,-0.0341595709,0.0956389606,-0.0032682584,1.3137601614,-0.0448950082,,,,,,,,,,,,,,,,,2,                  0x400,3,                  0x400,2.0,                  0x400,3.0,                  0x400,3.0,                  0x400,1.0,0.0
11,0.1666666754,1.0,                    0x1,1.7887219601,0.717116811,2.0,                    0x1,1.7381756046,-0.7620197837,3.0,                    0x1,-0.0257902614,-0.7017399921,4.0,                    0x1,0.024756094,0.7773966026,0,1.6900134087,1.05575118141132e-05,2,1,0.7762429714,0.0430901349,2,2,-1.6000133753,1.05575118141132e-05,1,3,-2.5194718838,0.0425499901,1,4,5.6850132942,1.05575118141132e-05,1,5,4.7661685944,0.0432291701,1,6,-4.6850132942,1.05575118141132e-05,1,7,-5.5907707214,0.042473495,1,8,9.9349241257,1.05575118141132e-05,1,9,9.0152492523,0.0433260687,2,10,-8.2500133514,1.05575118141132e-05,1,11,-9.1513376236,0.0423272178,1,12,13.5999240875,1.05575118141132e-05,1,13,12.6709651947,0.0434833467,1,1,-0.0005170837,0.0378283052,-0.0341595858,0.1178582981,-0.004027559,1.3525606394,-0.0462209806,,,,,,,,,,,,,,,,,2,                  0x400,3,                  0x400,2.0,                  0x400,3.0,                  0x400,3.0,                  0x400,1.0,0.0
